date (yyyy/mm/dd),time (UT),detector,AW (deg),Central PA (deg),height (Rs),center_mass (Rs),mass (g),potential (erg)
2013/01/23,18:54:56,c2B,78.00,319.52,15.00,9.88,3.591e+15,6.193e+30
2011/06/05,08:24:25,c2B,95.00,314.26,6.70,4.44,4.626e+15,6.898e+30
2013/05/02,07:24:27,c2B,59.00,338.46,6.00,4.47,3.205e+15,4.768e+30
2011/06/05,03:50:00,c1A,60.00,46.74,2.70,1.98,7.867e+14,7.700e+29
2011/06/05,07:24:25,c2B,76.00,314.06,5.00,3.71,2.274e+15,3.225e+30
2013/01/29,03:35:55,c1B,58.00,343.07,3.70,2.40,1.015e+15,1.116e+30
2010/12/14,17:24:51,c2B,87.00,320.68,9.80,5.95,5.230e+15,8.313e+30
2013/01/29,02:30:55,c1B,48.00,334.97,2.10,1.71,6.753e+14,5.515e+29
2011/03/17,13:54:00,c2A,65.00,239.95999999999998,8.00,4.36,8.153e+15,1.189e+31
2013/05/27,19:55:27,c1B,83.00,190.43,3.00,2.16,1.641e+15,1.752e+30
2011/06/05,05:20:00,c1A,66.00,45.91,3.30,2.22,1.712e+15,1.852e+30
2013/02/09,07:35:01,C2,65.00,347.67,5.20,3.28,3.511e+15,4.628e+30
2010/12/12,07:21:26,C2,43.00,29.96,4.50,3.32,6.232e+14,8.247e+29
2013/05/27,23:24:00,c2A,50.00,216.98,14.50,8.95,4.001e+15,6.776e+30
2010/12/12,06:30:51,c1B,44.00,320.81,3.70,2.28,1.055e+15,1.086e+30
2013/01/23,16:39:56,c2B,78.00,319.52,9.50,6.04,2.635e+15,4.212e+30
2010/12/12,09:24:00,c2A,43.00,43.54,8.70,6.52,2.076e+15,3.348e+30
2013/05/17,20:25:00,c1A,37.00,214.47,1.90,1.56,6.418e+14,4.442e+29
2013/06/07,23:12:02,C2,45.00,223.11,3.00,2.32,1.260e+15,1.387e+30
2013/01/23,14:45:00,c1A,85.00,33.07,3.50,2.50,1.686e+15,1.977e+30
2010/12/12,06:00:51,c1B,42.00,320.97,3.10,1.78,1.504e+15,1.205e+30
