,ID,T_REC,USFLUX,ERRVF,MEANJZH,ERRMIH,TOTUSJH,ERRTUI,ABSNJZH,ERRTAI,MEANPOT,ERRMPOT,TOTPOT,ERRTPOT
60,1.200e+01,2013.06.08_09:00:00.000_TAI,5.784e+20,1.629e+18,7.373e-04,6.248e-04,6.938e+00,7.054e-01,8.324e-01,7.054e-01,6.805e+02,9.575e+00,1.020e+21,1.436e+19
61,1.200e+01,2013.06.08_09:12:00.000_TAI,4.677e+20,1.235e+18,6.113e-04,7.329e-04,5.909e+00,6.105e-01,5.092e-01,6.105e-01,6.225e+02,8.884e+00,6.886e+20,9.828e+18
62,1.200e+01,2013.06.08_09:24:00.000_TAI,5.096e+20,1.370e+18,8.855e-04,7.126e-04,6.871e+00,6.648e-01,8.261e-01,6.648e-01,6.124e+02,8.689e+00,7.588e+20,1.077e+19
63,1.200e+01,2013.06.08_09:36:00.000_TAI,4.550e+20,1.190e+18,1.134e-03,7.409e-04,5.417e+00,5.972e-01,9.142e-01,5.972e-01,6.164e+02,8.129e+00,6.598e+20,8.701e+18
64,1.200e+01,2013.06.08_09:48:00.000_TAI,4.084e+20,1.168e+18,1.680e-03,7.926e-04,5.076e+00,5.762e-01,1.221e+00,5.762e-01,6.867e+02,9.749e+00,6.630e+20,9.413e+18
65,1.200e+01,2013.06.08_10:00:00.000_TAI,4.097e+20,1.205e+18,4.118e-04,7.485e-04,4.925e+00,5.793e-01,3.187e-01,5.793e-01,8.047e+02,1.248e+01,8.272e+20,1.283e+19
66,1.200e+01,2013.06.08_10:12:00.000_TAI,3.497e+20,9.365e+17,2.462e-04,8.560e-04,4.813e+00,5.128e-01,1.475e-01,5.128e-01,8.354e+02,1.065e+01,6.646e+20,8.473e+18
67,1.200e+01,2013.06.08_10:24:00.000_TAI,3.202e+20,8.161e+17,-6.828e-04,8.761e-04,3.405e+00,4.678e-01,3.646e-01,4.678e-01,8.080e+02,1.057e+01,5.730e+20,7.499e+18
68,1.200e+01,2013.06.08_10:36:00.000_TAI,2.739e+20,8.085e+17,-5.567e-04,9.459e-04,3.393e+00,4.502e-01,2.650e-01,4.502e-01,1.027e+03,1.355e+01,6.491e+20,8.565e+18
69,2.000e+00,2010.12.14_11:36:00.000_TAI,6.040e+21,4.101e+18,-1.262e-02,8.053e-04,3.373e+02,6.929e+00,1.085e+02,6.929e+00,8.041e+03,1.545e+01,9.188e+22,1.766e+20
70,2.000e+00,2010.12.14_11:48:00.000_TAI,5.998e+21,4.019e+18,-1.320e-02,7.962e-04,3.301e+02,6.846e+00,1.135e+02,6.846e+00,8.031e+03,1.545e+01,9.170e+22,1.765e+20
71,2.000e+00,2010.12.14_12:00:00.000_TAI,5.984e+21,3.974e+18,-1.444e-02,8.041e-04,3.380e+02,6.793e+00,1.220e+02,6.793e+00,8.096e+03,1.538e+01,9.083e+22,1.725e+20
